,result
348,6083.542992531444
349,6089.700731278057
350,5925.561422927475
351,6022.0463456924645
352,6105.13391218637
353,6092.2259889742745
354,5992.545287710658
355,6084.042752052198
356,5990.14902859767
357,6044.666675646693
358,6099.056346556999
359,6097.757951026548
360,6081.027236214884
361,6127.696091447802
362,6131.48604109741
363,5933.864784906181
364,6050.2665921225225
365,5929.127210807592
366,5953.369985522506
367,5991.208625066846
368,6055.755411287018
369,6085.38895399911
370,6007.965802810129
371,6060.841666075922
372,5963.118335692729
373,6064.10152363062
374,5991.262517246205
375,6073.736276005386
376,6074.814104005338
377,6128.006703762691
378,6111.801927029428
379,6077.703818011575
380,6083.97196616927
381,6058.378718780872
382,6126.839349917179
383,6171.008127868972
384,5886.49492161804
385,5975.363579916316
386,6030.8283694847
387,6105.400992394073
388,5985.212307910422
389,6002.35376515514
390,6037.497502158969
391,6007.43936829637
392,6056.289526092515
393,6204.437861091705
394,6274.311181353436
395,6085.257674603327
396,6056.7226089012365
397,6069.650529817833
398,6140.119125460858
399,6022.209659534362
400,5965.736157009
401,5908.312078330898
402,6022.320790943373
403,6114.585559420656
404,5977.800091901819
405,6130.986472421423
406,6013.179869779464
407,6046.015637574821
408,6085.898695684954
409,6079.099376427224
410,6017.324861502257
411,6093.0014565683805
412,5949.237672706831
413,6022.262068104726
414,5932.482556580353
415,6008.947207879714
416,5994.291106012206
417,5959.050144086995
418,6043.164341928783
419,6231.137046530155
420,6070.00453558271
421,6015.2619992210375
422,5892.94051654151
423,6058.240142746567
424,5968.98738923107
425,5936.174848165008
426,6056.9957485458435
427,6164.785994118574
428,6029.077388367832
429,6046.9192290381825
430,5990.683647412498
431,6104.7490162417935
432,6040.577345709818
433,5940.278748047309
434,6037.696183736771
435,6018.147227769506
436,6027.375423717786
437,6119.684991340207
438,6079.820121426001
439,6065.153997619477
440,6032.5034954662015
441,6111.905286367664
442,5975.9415540528935
443,6084.713237431375
444,6011.5936592209955
445,6034.718974673012
446,5958.256550525147
447,5921.314472172553
448,6008.856587689574
449,6108.936664242728
450,5970.220041764942
451,6000.192676386242
452,5969.422542595619
453,6113.375353107871
454,5919.354104517836
455,5992.022798607463
456,6112.793744230193
457,6135.168143967886
458,6194.081915330336
459,6040.7866734903455
460,5996.664920996872
461,6037.390155943263
462,6117.524285069318
463,6180.542802225157
464,6014.866607417016
465,6084.5026417816
466,6009.4105493084335
467,6275.812023567492
468,5994.436979299486
469,6076.114104512387
470,6138.078325107107
471,6022.7719064400235
472,6189.8001842168605
473,6143.118456370691
474,6202.968754224029
475,6185.777653959923
476,6114.538837614758
477,6051.625699832742
478,6067.794857335051
479,5991.232167987872
480,5941.480047158418
481,6113.8019323928365
482,6110.8825824621035
483,5942.090663665061
484,6109.907200344883
485,6026.330782479743
486,6022.529740248259
487,6174.554630491825
488,5971.220361994541
489,6106.8386030533275
490,5919.74400275615
491,6057.1174166056435
492,6046.75583742175
493,5999.514449105496
494,6033.4331325099
495,6149.194336164326
496,6057.152900185522
497,5938.111663253057
498,6047.144722511591
499,6103.110031720515
500,6004.479830130596
501,6119.001386595785
502,5957.075398431628
503,6113.303160348228
504,6183.628766920567
505,6038.453280212611
506,6051.38525263732
507,6025.19502314309
508,6052.412190273628
509,6082.4798508890335
510,6062.679375878168
511,6037.657454861606
512,6080.0310379629345
513,6107.274682725094
514,6013.169589776703
515,6014.065757247427
516,6051.165228456646
517,6142.283584571902
518,6166.92131649337
519,6234.484452474666
520,5997.410380947445
521,5910.559756145853
522,6070.997154078118
523,5976.956051222465
524,6075.353705578559
525,5977.240992239396
526,6174.262879688605
527,5972.740176162998
528,6016.854427131435
529,6013.797857662801
530,6064.916906986621
531,6243.756762070996
532,6038.827179409618
533,6090.169236760063
534,5938.08533448581
535,6071.019055143569
536,6002.200602452395
537,6001.690426024936
538,5931.663750790314
539,5934.433662573184
540,5970.096105802651
541,6020.392182510837
542,6190.833193785573
543,5974.83734494412
544,6061.497184860575
545,5919.734698890173
546,6190.626420963881
547,6178.175933671773
548,6003.0342473849305
549,6082.219351377014
550,6016.1978216416
551,6055.898497866562
552,6164.655303978394
553,5969.942642191066
554,6058.4930899137125
555,5978.052661358776
556,6108.562109886978
557,6072.96844550549
558,6125.74155027727
559,5965.146117792873
560,6135.127467473422
561,6010.979056022594
562,6027.116475560078
563,6096.638050361462
564,6029.582980802979
565,5987.465890669422
566,5925.875854593211
567,6052.6158467779
568,6029.315228522613
569,6016.512652164509
570,6043.431003967091
571,6060.131156290009
572,6055.330001226819
573,6168.185991331234
574,6027.703068770971
575,6083.413559815126
576,6048.260941101753
577,6025.54410776585
578,6093.108250872841
579,6034.625115929505
580,5991.51879939981
581,5926.2564599666575
582,6205.576078411025
583,6021.380668824985
584,5906.618841659731
585,6066.487971598216
586,6073.105316742507
587,6012.976536311485
588,6014.585105281004
589,5896.428912149983
590,5891.804666023667
591,6063.688653616494
592,6008.104072105894
593,6133.414656980125
594,5973.856337309863
595,5980.536846433741
596,5969.574479209604
597,5994.708468653999
598,5913.898160028946
599,6106.690522910165
600,6043.615002523116
601,6106.782207202466
602,6057.900316530166
603,6051.422610210132
604,6015.949148868341
605,6103.819659897838
606,6139.549769007656
607,6040.640010350148
608,6061.832148399556
609,6097.610542253646
610,6032.749952856558
611,5993.987042097767
612,6046.404160655271
613,6088.339730213631
614,6055.815647696201
615,6174.956879962664
616,6048.384297823973
617,5975.196566654964
618,5908.563473873893
619,6043.707812260693
620,5976.043200079177
621,6019.763069823249
622,6016.568857412221
623,6051.658668550095
624,6110.340771813638
625,6058.180854409361
626,6038.3672739166295
627,5992.09522432943
628,6156.567544967189
629,6065.5006551740125
630,5996.025537783335
631,5927.9373160727255
632,5994.124655658785
633,6040.949207073291
634,6076.6236091950805
635,6119.254874256916
636,6084.548483702555
637,5984.127093199144
638,5975.329743726281
639,5921.48533279869
640,6073.353693194756
641,6142.123766572556
642,5960.454211307646
643,6105.644128575117
644,5901.288468247506
645,6086.96662896068
646,6068.276516104452
647,6142.777493808951
648,6177.377469147248
649,6036.684884213071
650,6128.21320381182
651,6156.1584026335295
652,6112.162402826939
653,6003.355887590792
654,6055.455332684795
655,6020.678669416609
656,5982.930697293685
657,6136.892679387482
658,6208.5313777750935
659,5994.859679746337
660,6053.900609541812
661,5985.309037186397
662,6141.438062702477
663,5988.0083625825255
664,6049.026931866738
665,5932.741713927782
666,6079.714846285305
667,6062.846896372484
668,6103.349453082433
669,6087.124767152288
670,6094.237150970608
671,6069.27209543778
672,6029.750521881021
673,6078.212883392286
674,6049.775115237192
675,5816.540774521673
676,6047.4552742493
677,5951.179160784535
678,6051.626059745311
679,5967.405919485625
680,6126.0369214419115
681,5944.372469370827
682,6061.540242440636
683,6036.262209957136
684,5984.5313514051495
685,5999.865605711071
686,5984.126410157827
687,6052.031877757267
688,6044.151321978931
689,5817.519526148041
690,5974.85438814757
691,5978.302747670496
692,6113.115319498771
693,5895.747521686706
694,6047.869924586714
695,6007.517406203981
696,6060.758499466771
697,6081.029670947934
698,6260.547218557446
699,6116.092466328696
700,6046.195566884794
701,6048.0994221248275
702,5959.955163915571
703,6117.486059054008
704,6094.433269756531
705,6122.796982585759
706,6146.633666598244
707,5957.8546342869695
708,6082.107794257892
709,6087.239047336578
710,6043.417029653768
711,6064.431657837697
712,6052.564325839444
713,6035.15901220874
714,6157.264249396375
715,6133.649650178364
716,6127.735287489917
717,6025.746062540034
718,5997.977552993999
719,6148.06456981568
720,6151.703495161011
721,5964.109329214555
722,6102.951759465185
723,6005.01988290299
724,6029.825881033898
725,6124.3646906572185
726,6063.728302812969
727,6157.59212981551
728,6022.882111486008
729,6072.424148640957
730,6025.250609797436
731,6099.059671815022
732,6031.738970623455
733,6046.962123283884
734,5968.119160891253
735,6063.768888954816
736,6043.46188184537
737,5939.088982337057
738,6046.966902330218
739,6001.666872020189
740,6066.469268510691
741,6108.849592264352
742,6092.999422539532
743,6073.487543531551
744,5882.2867304633155
745,6023.891945247574
746,6069.534315796883
747,6068.154046991759
748,6025.990782398491
749,6085.776922248508
750,6007.553418441393
751,5986.387791767723
752,6121.962541962249
753,6014.584220273577
754,6013.0111443274
755,6043.884229878424
756,6074.881138907748
757,5952.527440944479
758,6121.182229444692
759,5988.490067072372
760,6171.728237229153
761,5835.50661385564
762,6013.505609365648
763,6122.197340408528
764,6144.620316155025
765,6054.218785006721
766,6006.503934763782
767,6178.291418625493
768,6123.896249846673
769,6094.217171486074
770,5943.477164165749
771,6139.844493470651
772,5926.218737302003
773,6156.784831863019
774,6129.527469894384
775,5922.500420569205
776,6061.875633288673
777,6048.756543334275
778,6032.320954570605
779,6039.72352961094
780,6137.9284580211015
781,6199.114669611886
782,6087.951916916987
783,6081.568131282392
784,6029.118386600158
785,6166.0880869380635
786,6079.8150458927275
787,5948.807828890673
788,6097.829708157979
789,6049.686350509824
790,6001.537769056349
791,6058.566727059599
792,5967.760716640066
793,5906.3398746052335
794,6162.768804937402
795,6088.952928897002
796,5999.707076863358
797,6254.847941331126
798,6089.50665483766
799,6020.642729738431
800,6104.934617128516
801,6017.791155579454
802,6050.276876859402
803,6058.5594274653895
804,6052.723934329895
805,5919.252450884726
806,6189.595023167337
807,6136.781281027594
808,6021.402435955548
809,6037.233244068758
810,5983.234721828789
811,6075.644040691059
812,5966.912746023606
813,5947.032097794343
814,5963.5839476168185
815,6064.346422759708
816,5973.6835891792125
817,6224.820687755608
818,6100.578943717574
819,6008.162067013107
820,5887.394432913249
821,6074.591849722455
822,6133.673740696445
823,5967.269341424795
824,5995.817557441735
825,6131.4808490894175
826,6007.663161379529
827,6072.169092878053
828,6104.9253748884885
829,6143.673559959969
830,6041.567409176854
831,5936.84054976842
832,6054.273935273615
833,6126.1508626447685
834,5966.831714253304
835,5976.784120334958
836,5959.002054698683
837,6063.887772990216
838,6015.071391813856
839,6112.837680425058
840,6102.4881453085245
841,6037.245594471628
842,6015.06226685088
843,6139.353950370018
844,5972.574284243003
845,6078.926057253469
846,6225.841632140979
847,6106.272384677378
848,6008.068470438387
849,6050.598161351502
850,5949.514713977728
851,6232.789433791841
852,6039.314758272194
853,5903.367385185749
854,6084.555384488881
855,6045.582901696619
856,5914.443796560096
857,6076.6232436686
858,6052.0731393269425
859,6045.325271821304
860,5963.241478987312
861,6029.262569486729
862,6074.143042132466
863,5974.4903429110545
864,6079.496284712284
865,6046.843816931149
866,6022.381027317668
867,6019.174554494229
868,6096.6396939272145
869,6097.276332883261
870,5989.405621742384
871,6134.555675457214
872,5964.037883802281
873,6188.696292287655
874,6014.02516237072
875,6102.406140693046
876,6021.212761730098
877,5995.816273606681
878,6071.6609161881415
879,5890.706633495408
880,6004.504025891803
881,6015.104376874414
882,5986.824960369029
883,6059.5186886214715
884,6048.85677113885
885,6182.313961608014
886,6086.926998953919
887,6089.57058489791
888,6011.245489273678
889,5953.006340653455
